section	observed_at	id	seq	source_file_name	attempt_no	execution_status	stage	reason_code	reason_message	active_pull_wave_id	wave_no	next_call_seq	planned_call_count	success	remaining	started_at	finished_at	last_business_at
SNAPSHOT	2026-09-12 23:09:30.390	499	1	9-12AK01.txt	1	5	6	GROUP_BANNED	群已被封禁	1358	1	2	16	1	0	2026-09-12 22:29:57.4290	2026-09-12 22:31:56.1210	2026-09-12 22:31:49.7570
SNAPSHOT	2026-09-12 23:09:30.390	509	1	9-12AK01.txt	2	3	6	PULLER_UNAVAILABLE	当前没有可用拉手，缺口人数=2	1386	8	1	2	187	14	2026-09-12 22:31:59.3250	NULL	2026-09-12 23:02:40.5980
SNAPSHOT	2026-09-12 23:09:30.390	500	2	9-12AK03.txt	1	2	6	NULL	NULL	1365	2	1	8	96	105	2026-09-12 22:29:57.4290	NULL	2026-09-12 22:37:27.1690
SNAPSHOT	2026-09-12 23:09:30.390	501	3	9-12AK04.txt	1	5	6	GROUP_BANNED	群已被封禁	1359	1	2	16	1	0	2026-09-12 22:29:57.4290	2026-09-12 22:32:02.4260	2026-09-12 22:31:52.1540
SNAPSHOT	2026-09-12 23:09:30.390	510	3	9-12AK04.txt	2	3	6	PULLER_UNAVAILABLE	当前没有可用拉手，缺口人数=2	1374	6	5	8	88	113	2026-09-12 22:32:04.9920	NULL	2026-09-12 22:52:32.2750
SNAPSHOT	2026-09-12 23:09:30.390	502	4	9-12AK06.txt	1	5	6	GROUP_BANNED	群已被封禁	1356	1	2	17	1	0	2026-09-12 22:29:57.4290	2026-09-12 22:31:39.4630	2026-09-12 22:31:26.3370
SNAPSHOT	2026-09-12 23:09:30.390	507	4	9-12AK06.txt	2	3	6	PULLER_UNAVAILABLE	当前没有可用拉手，缺口人数=2	1385	9	1	3	153	48	2026-09-12 22:31:49.7570	NULL	2026-09-12 23:01:56.9690
SNAPSHOT	2026-09-12 23:09:30.390	503	5	9-12AK07.txt	1	6	2	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2026-09-12 22:29:57.4290	2026-09-12 22:35:34.9520	2026-09-12 22:35:16.7110
SNAPSHOT	2026-09-12 23:09:30.390	504	6	9-12AK08.txt	1	5	6	GROUP_BANNED	群已被封禁	1357	1	2	15	1	0	2026-09-12 22:29:57.4290	2026-09-12 22:31:46.9170	2026-09-12 22:31:36.2720
SNAPSHOT	2026-09-12 23:09:30.390	508	6	9-12AK08.txt	2	2	6	NULL	NULL	1367	2	1	13	3	198	2026-09-12 22:31:49.7570	NULL	2026-09-12 22:39:21.8150
SNAPSHOT	2026-09-12 23:09:30.390	505	7	9-12AK09.txt	1	3	2	MANAGER_UNAVAILABLE	当前没有可用管理员，缺口人数=1	NULL	NULL	NULL	NULL	0	201	2026-09-12 22:29:57.4290	NULL	2026-09-12 22:45:25.4110
SNAPSHOT	2026-09-12 23:09:30.390	506	8	9-12AK10.txt	1	5	2	INVITE_INVALID	群邀请码无效	NULL	NULL	NULL	NULL	0	201	2026-09-12 22:29:57.4290	2026-09-12 22:30:32.3630	2026-09-12 22:30:32.3630
section	id	group_execution_id	call_status	command_id	planned_material_count	bound_materials	planned_attempts
CURRENT_CALL	8916	500	1	NULL	13	12	13
CURRENT_CALL	8934	508	1	NULL	13	12	13
section	id	group_execution_id	pull_wave_id	pull_call_id	participant_ref_id	lifecycle_status	protocol_outcome	reason_code	submitted_at	result_at	released_at	created_at	updated_at
MEMBER_HISTORY	132091	500	1360	8842	94850	3	SUCCESS	OK	2026-09-12 22:34:42.8910	2026-09-12 22:35:00.5600	2026-09-12 22:34:58.4210	2026-09-12 22:32:38.5160	2026-09-12 22:35:00.5600
MEMBER_HISTORY	132997	500	1365	8916	94850	1	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:38:27.0970	2026-09-12 23:09:30.0610
MEMBER_HISTORY	132597	508	1363	8886	96415	3	SUCCESS	OK	2026-09-12 22:35:41.3810	2026-09-12 22:35:51.7300	2026-09-12 22:35:57.6530	2026-09-12 22:34:42.8910	2026-09-12 22:35:51.7300
MEMBER_HISTORY	133251	508	1367	8934	96415	1	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:40:19.6440	2026-09-12 23:09:27.4910
section	group_execution_id	account_id	availability_status	membership_status	account_state	login_state	mute_status	restriction_reason_code	restricted_until
CURRENT_PULLER	500	1778	1	2	2	1	NULL	NULL	NULL
CURRENT_PULLER	500	1782	3	0	6	2	NULL	NULL	NULL
CURRENT_PULLER	500	1504	1	2	2	1	NULL	NULL	NULL
CURRENT_PULLER	507	1456	3	2	2	1	2	RATE_LIMITED	2026-09-13 23:02:05.3160
CURRENT_PULLER	507	1476	1	2	2	1	2	RATE_LIMITED	2026-09-13 22:43:44.2710
CURRENT_PULLER	508	1513	3	2	2	3	NULL	NULL	NULL
CURRENT_PULLER	508	1516	1	2	2	1	NULL	NULL	NULL
CURRENT_PULLER	509	1756	3	2	6	2	2	RATE_LIMITED	2026-09-13 22:49:44.8680
CURRENT_PULLER	509	1757	3	2	2	3	2	RATE_LIMITED	2026-09-13 23:02:57.7690
CURRENT_PULLER	510	1759	3	2	6	2	NULL	NULL	NULL
